creator	magazine	count
    "Tzara, Tristan, 1896-1963"	urn:PUL:bluemountain:bmtnaaz	10
    "Pérez-Jorbà, J. (Joan), 1878-1928"	urn:PUL:bluemountain:bmtnaaz	9
    "Reverdy, Pierre, 1889-1960"	urn:PUL:bluemountain:bmtnaaz	11
    "Justman, Ary 1888-1919"	urn:PUL:bluemountain:bmtnaaz	7
    "Radiguet, Raymond, 1903-1923"	urn:PUL:bluemountain:bmtnaaz	4
    "Albert-Birot, Pierre, 1876-1967"	urn:PUL:bluemountain:bmtnaaz	40
    "Albert-Birot, Germaine 1877-1931"	urn:PUL:bluemountain:bmtnaaz	8
    "Dermée, Paul (1886-1951)."	urn:PUL:bluemountain:bmtnaaz	6
    "Pieux, Léonard 1887-1950"	urn:PUL:bluemountain:bmtnaaz	4
    "Pierre-Quint, Léon, 1895-1958"	urn:PUL:bluemountain:bmtnaaz	1
    "Grey, Roch"	urn:PUL:bluemountain:bmtnaaz	8
    "Survage, Léopold (1879-1968)."	urn:PUL:bluemountain:bmtnaaz	2
    "Cliquennois, Henry"	urn:PUL:bluemountain:bmtnaaz	1
    "Raynal, Maurice, 1884-1954"	urn:PUL:bluemountain:bmtnaaz	1
    "Zadkine, Ossip, 1890-1967"	urn:PUL:bluemountain:bmtnaaz	4
    "Folgore, Luciano, 1888-1966"	urn:PUL:bluemountain:bmtnaaz	5
    "Orloff, Chana, 1888-1968"	urn:PUL:bluemountain:bmtnaaz	6
    "Aragon, Louis, 1897-1982"	urn:PUL:bluemountain:bmtnaaz	8
    "Gardelle, Charlotte, 1876-...."	urn:PUL:bluemountain:bmtnaaz	3
    "Prampolini, Enrico, 1894-1956"	urn:PUL:bluemountain:bmtnaaz	4
    "Frick, Louis de Gonzague, 1883-1959"	urn:PUL:bluemountain:bmtnaaz	4
    "Goll, Yvan, 1891-1950"	urn:PUL:bluemountain:bmtnaaz	1
    "Allard, Roger, 1885-1961"	urn:PUL:bluemountain:bmtnaaz	2
    "Billy, André, 1882-1971"	urn:PUL:bluemountain:bmtnaaz	1
    "Cendrars, Blaise, 1887-1961"	urn:PUL:bluemountain:bmtnaaz	1
    "Cocteau, Jean, 1889-1963"	urn:PUL:bluemountain:bmtnaaz	2
    "Descaves, Lucien, 1861-1949"	urn:PUL:bluemountain:bmtnaaz	1
    "Divoire, Fernand, 1883-1951"	urn:PUL:bluemountain:bmtnaaz	1
    "Faure-Favier, Louise, 1870-1961"	urn:PUL:bluemountain:bmtnaaz	1
    "Foix, J. V., 1893-1987"	urn:PUL:bluemountain:bmtnaaz	1
    "Jacob, Max, 1876-1944"	urn:PUL:bluemountain:bmtnaaz	1
    "Junoy, Josep Maria, 1887-1955"	urn:PUL:bluemountain:bmtnaaz	1
    "Picabia, Francis, 1879-1953"	urn:PUL:bluemountain:bmtnaaz	1
    "Lagut, Irène 1893-1994"	urn:PUL:bluemountain:bmtnaaz	1
    "Picard, Gaston, 1892-1962"	urn:PUL:bluemountain:bmtnaaz	3
    "Romains, Jules, 1885-1972"	urn:PUL:bluemountain:bmtnaaz	1
    "Royère, Jean, 1871-1956"	urn:PUL:bluemountain:bmtnaaz	1
    "Salmon, André, 1881-1969"	urn:PUL:bluemountain:bmtnaaz	1
    "Lefébure, Roger"	urn:PUL:bluemountain:bmtnaaz	1
    "Soupault, Philippe, 1897-1990"	urn:PUL:bluemountain:bmtnaaz	9
    "Gabory, Georges, 1899-1978"	urn:PUL:bluemountain:bmtnaaz	4
    "Breton, André, 1896-1966"	urn:PUL:bluemountain:bmtnaaz	1
    "Depero, Fortunato, 1892-1960"	urn:PUL:bluemountain:bmtnaaz	2
    "Cantarelli, Gino 1899-1950"	urn:PUL:bluemountain:bmtnaaz	3
    "Férat, Serge, 1881-1958"	urn:PUL:bluemountain:bmtnaaz	1
    "Apollinaire, Guillaume, 1880-1918"	urn:PUL:bluemountain:bmtnaaz	9
    "Balla, Giacomo, 1871-1958"	urn:PUL:bluemountain:bmtnaaz	1
    "Stravinsky, Igor, 1882-1971"	urn:PUL:bluemountain:bmtnaaz	1
    "Drieu la Rochelle, Pierre, 1893-1945"	urn:PUL:bluemountain:bmtnaaz	2
    "Vanderpyl, Fritz-René 1876-1965"	urn:PUL:bluemountain:bmtnaaz	1
    "Boussingault, Jean-Louis, 1883-1943"	urn:PUL:bluemountain:bmtnaaz	1
    "Severini, Gino, 1883-1966"	urn:PUL:bluemountain:bmtnaaz	3
    "Boissy, Gabriel de 1626-1678"	urn:PUL:bluemountain:bmtnaaz	1
    "Pratella, Francesco Balilla, 1880-1955"	urn:PUL:bluemountain:bmtnaaz	1
    "Berthet, F."	urn:PUL:bluemountain:bmtnaaz	1
