Label	Date	Pages

No. 1	1916-01-01	10
No. 2	1916-02-01	8
No. 3	1916-03-01	8
No. 4	1916-04-01	8
No. 5	1916-05-01	8
No. 6	1916-06-01	8
No. 7	1916-07-01	8
No. 8, 9, 10	1916-08-01	23
No. 11	1916-11-01	8
No. 12	1916-12-01	8
No. 13	1917-01-01	7
No. 14	1917-02-01	8
No. 15	1917-03-01	8
No. 16	1917-04-01	7
No. 17	1917-05-01	8
No. 18	1917-06-01	8
No. 19-20	1917-07-01	12
No. 21-21	1917-09-01	11
No. 23	1917-11-01	8
No. 24	1917-12-01	8
No. 25	1918-01-01	8
No. 26	1918-02-01	8
No. 27	1918-03-01	8
No. 28	1918-04-01	8
No. 29	1918-05-01	8
No. 30	1918-06-01	6
No. 31	1918-10-01	8
No. 32 2e No d'Octobre	1918-10-01	8
No. 33 1e No de Novembre	1918-11-01	8
No. 34 2e No de Novembre	1918-11-01	8
No. 35	1918-12-01	8
No. 36 2e No de Décembre	1918-12-01	8
Nos 37, 38, 39	1919-01-01	32
Nos 40 et 41	1919-02-28	20
Nos 42 et 43	1919-03-30	18
No 44	1919-04-30	12
Nos 45 & 46	1919-05-15	20
Nos 47 & 48	1919-06-15	20
Nos 49 & 50	1919-10-15	20
Nos 51 & 52	1919-11-15	20
Nos 53 & 54	1919-12-15	20
